TripID,StartDate,StartTime,EndDate,EndTime,TripDuration,TripDistance,StartLatitude,StartLongitude,EndLatitude,EndLongitude,DayOfWeek,HourNum
dc1289dd-5de4-6846-e953-66e72098,2019-08-01,00:15,2019-08-01,00:15,3,0.35,38.252,-85.754,38.253,-85.754,5,00
a158e61b-0a9e-dac0-8b1e-b23a69c6,2019-08-01,00:15,2019-08-01,00:15,7,1,38.253,-85.754,38.252,-85.754,5,00
787197d5-8aa7-dfbe-7e3d-14d9f2e5,2019-08-01,00:15,2019-08-01,00:15,1,0.03,38.253,-85.755,38.254,-85.755,5,00
66e2f63d-a6aa-62a5-0c53-b4bc96c2,2019-08-01,00:15,2019-08-01,00:30,5,0.6,38.255,-85.74,38.255,-85.749,5,00
7ae79838-5af9-51d4-f3c0-48b52fe0,2019-08-01,00:30,2019-08-01,00:30,11,0.83,38.255,-85.749,38.253,-85.739,5,00
c89015d9-9d42-9d61-0cac-e72af146,2019-08-01,01:15,2019-08-01,01:30,13,2.13,38.218,-85.755,38.209,-85.777,5,01
eb677b88-b328-9be8-d109-808a6e06,2019-08-01,01:30,2019-08-01,02:30,72,6.39,38.258,-85.745,38.257,-85.746,5,01
621e4eb4-c7f3-152d-7446-ff748bb6,2019-08-01,01:30,2019-08-01,02:30,72,6.24,38.258,-85.745,38.257,-85.746,5,01
b4f8be12-f241-4e21-423f-31cc639d,2019-08-01,01:45,2019-08-01,01:45,8,0.99,38.254,-85.746,38.257,-85.729,5,01
0317824a-6ac5-456f-9696-479721ba,2019-08-01,02:30,2019-08-01,03:00,18,3.73,38.197,-85.767,38.254,-85.758,5,02
4e0218cb-ba72-7ff4-b4a1-cda301c0,2019-08-01,03:00,2019-08-01,03:15,10,0,38.229,-85.758,38.251,-85.754,5,03
26c8c0a9-a554-d317-2fe2-c6cd5997,2019-08-01,03:30,2019-08-01,03:45,5,0,38.264,-85.728,38.257,-85.741,5,03
91e71d40-965a-a84f-1968-429218e1,2019-08-01,03:45,2019-08-01,04:00,4,0.47,38.254,-85.757,38.25,-85.761,5,03
eaa66590-fce4-9f18-9930-844cd518,2019-08-01,03:45,2019-08-01,03:45,2,0,38.258,-85.756,38.256,-85.757,5,03
f3e9814b-d7fc-18d9-3255-9a0214a9,2019-08-01,04:00,2019-08-01,04:45,46,0.91,38.255,-85.751,38.258,-85.745,5,04
404eb547-877c-a99e-5615-649aa234,2019-08-01,04:00,2019-08-01,04:15,5,1.02,38.226,-85.765,38.224,-85.749,5,04
40f3e069-c8e5-da56-bf87-a83796f0,2019-08-01,04:00,2019-08-01,04:15,4,0.67,38.253,-85.755,38.246,-85.758,5,04
72d49f59-3417-f1f3-8537-e7d7ad70,2019-08-01,04:00,2019-08-01,04:15,4,0,38.236,-85.716,38.236,-85.716,5,04
7855f9dd-4bb2-5b27-6767-53d6c974,2019-08-01,04:00,2019-08-01,04:15,5,0,38.258,-85.74,38.264,-85.727,5,04
88963ea9-3f2a-914e-dcdd-b4e0b3bc,2019-08-01,04:00,2019-08-01,04:00,6,0.03,38.218,-85.763,38.22,-85.763,5,04
edc0017f-97a6-2cd5-26c8-d8c731cb,2019-08-01,04:15,2019-08-01,04:45,25,4.971,38.226,-85.733,38.181,-85.72,5,04
1daa00fa-e456-3184-e345-adbf3177,2019-08-01,04:15,2019-08-01,04:15,3,0,38.252,-85.754,38.253,-85.755,5,04
480fc468-8110-d8df-54da-1f63d3df,2019-08-01,04:15,2019-08-01,04:30,2,0.01,38.249,-85.762,38.249,-85.761,5,04
b23854ca-e56c-0299-426d-f26f803c,2019-08-01,04:30,2019-08-01,04:30,4,0.81,38.214,-85.751,38.207,-85.758,5,04
dbcb2d11-363e-6fae-55bd-e6780cf1,2019-08-01,04:30,2019-08-01,04:45,8,1.25,38.227,-85.76,38.247,-85.758,5,04
de5a0443-a9c6-021c-aa26-c9b2c46d,2019-08-01,04:30,2019-08-01,05:00,31,1.85,38.255,-85.744,38.262,-85.738,5,04
1c9ba9c6-54ac-7b0b-3843-32280fd3,2019-08-01,04:30,2019-08-01,05:30,52,6.276,38.254,-85.755,38.272,-85.805,5,04
0c00a73b-312b-1331-d7d3-fc6dcc64,2019-08-01,04:30,2019-08-01,04:45,4,0.43,38.214,-85.751,38.208,-85.756,5,04
178883c2-a447-10bc-3404-054dd8b1,2019-08-01,04:30,2019-08-01,04:45,12,1.91,38.205,-85.764,38.192,-85.79,5,04
62755506-6d7f-4380-a287-5ed002cb,2019-08-01,04:45,2019-08-01,05:00,6,0.88,38.258,-85.752,38.254,-85.762,5,04
f2614b43-4c85-6f24-98cc-ba768dce,2019-08-01,04:45,2019-08-01,05:30,40,4.19,38.234,-85.708,38.238,-85.704,5,04
87323eef-6823-34c6-ee8c-8cc3d62a,2019-08-01,04:45,2019-08-01,05:00,10,0,38.242,-85.725,38.239,-85.721,5,04
93b3e4e3-18cc-054b-a709-607a2ced,2019-08-01,04:45,2019-08-01,04:45,4,0.75,38.246,-85.758,38.248,-85.749,5,04
c1f69aba-77c2-1516-412b-64d58827,2019-08-01,04:45,2019-08-01,05:00,7,0.99,38.233,-85.754,38.248,-85.753,5,04
bc7aa01c-2fb1-7714-c49c-b6479ca7,2019-08-01,05:00,2019-08-01,05:00,3,0,38.251,-85.744,38.25,-85.747,5,05
ff208b77-94f9-559c-2d6e-79b571be,2019-08-01,05:00,2019-08-01,05:15,13,1.056,38.253,-85.738,38.234,-85.706,5,05
ed06fe80-4457-115e-f04d-8838f618,2019-08-01,05:00,2019-08-01,05:00,6,0.88,38.217,-85.762,38.207,-85.757,5,05
1ab26ca9-49a6-e518-4228-530812ea,2019-08-01,05:00,2019-08-01,05:00,10,0.76,38.224,-85.762,38.213,-85.761,5,05
07ef6126-203b-a5c4-a4c0-53b3d95e,2019-08-01,05:00,2019-08-01,05:00,5,0.62,38.223,-85.763,38.217,-85.759,5,05
2d6ba636-022c-2995-661a-c78eba48,2019-08-01,05:00,2019-08-01,05:00,5,0.3,38.255,-85.756,38.248,-85.76,5,05
81df9422-d65f-90f4-59c0-6593a3f1,2019-08-01,05:00,2019-08-01,05:15,3,0.11,38.255,-85.744,38.256,-85.747,5,05
86464f8c-627b-ff31-3640-b24d1a36,2019-08-01,05:00,2019-08-01,05:00,10,0.76,38.223,-85.763,38.213,-85.761,5,05
a0a2f459-100f-361e-066f-2138d298,2019-08-01,05:00,2019-08-01,05:00,3,0.47,38.257,-85.744,38.257,-85.751,5,05
ac065fee-66e3-235f-0707-190de73e,2019-08-01,05:15,2019-08-01,06:30,66,5.22,38.226,-85.76,38.252,-85.754,5,05
ca91834f-2f3c-257a-1016-43a8b492,2019-08-01,05:15,2019-08-01,05:30,4,0.69,38.249,-85.758,38.257,-85.756,5,05
cef18482-e912-5590-2799-f129e975,2019-08-01,05:30,2019-08-01,05:45,21,3.12,38.251,-85.757,38.238,-85.723,5,05
c6805150-fbf5-9c33-d39a-64986705,2019-08-01,05:30,2019-08-01,05:45,7,1.48,38.227,-85.753,38.226,-85.734,5,05
9eb8d757-c102-3785-08ba-386fd77e,2019-08-01,05:30,2019-08-01,05:30,2,0.4,38.217,-85.762,38.218,-85.76,5,05
44625977-262f-eee9-ee7a-d7541266,2019-08-01,05:30,2019-08-01,06:45,62,9.631,38.256,-85.746,38.258,-85.746,5,05
6d71fe2a-3b73-e556-f54c-393f09de,2019-08-01,05:30,2019-08-01,05:30,1,0,38.237,-85.721,38.237,-85.721,5,05
